,項目数,51
,プラチナ,1
,ゴールド,2
,シルバー,8
,ブロンズ,40
,合計トロフィーポイント,240
,タイトル,詳細情報
/images/platinum.png,ステータス達成,ステータス達成
/images/bronze.png,死ぬのは奴らだ,敵を50人テイクダウンする。
/images/bronze.png,ダイヤモンドは永遠に,ハッキングでロックをすべて解除する。
/images/bronze.png,ユア・アイズ・オンリー,カメラを10台停止させる。
/images/bronze.png,黄金銃を持つ男,ヘッドショットを50回達成する。
/images/bronze.png,重力と向き合うとき,「ホワイト邸」にて、地下室のドアを1発で開ける。
/images/bronze.png,いたるところに人だらけ,「シエナ」にて、屋上にある合計7つのパラボラアンテナをすべて撃つ。
/images/bronze.png,オペラは万人のものならず,「オペラハウス」にて、敵に気づかれることなくバックステージを通り抜ける。
/images/bronze.png,やつが迫ってる！,「地下穴」にて、射撃手が生きている状態でヘリ操縦士だけを倒す。
/images/bronze.png,懐かしき哉、冷戦,科学センターの外にいるスナイパーをすべて1発で倒す。
/images/bronze.png,半分僧侶、半分殺し屋,科学センターの中で、メインホールの照明をすべて撃ち落とす。
/images/bronze.png,エリプシス,「マイアミ空港」にて、敵に気づかれることなくスカイフリートのサーバーを守る。
/images/bronze.png,我こそはマネー,「モンテネグロ鉄道」にて、P99以外使用しない。
/images/bronze.png,どんな奴でも殺せるが,「カジノ・ロワイヤル」にて、敵に気づかれることなくスパルームに到達する。敵に攻撃を加えてはならない。
/images/bronze.png,やや痒し,「貨物船」にて、2分以内にヴェスパーを救出する。
/images/bronze.png,私にやらせて,「ベニス」にて、ゲットラーを1発で倒す。
/images/bronze.png,必要なのは1発,「エコホテル」にて、車の運転手を倒す。
/images/silver.png,ワールド・イズ・ノット・イナフ,すべての携帯電話を入手する。
/images/silver.png,サンダーボール作戦,すべてのパワーウェポンを入手する。
/images/bronze.png,消されたライセンス,1発で敵を倒す。
/images/silver.png,オクトパシー,「一般市民」でゲームをクリアする。
/images/silver.png,トゥモロー・ネバー・ダイ,「新人」でゲームをクリアする。
/images/silver.png,007は二度死ぬ,「諜報員」でゲームをクリアする。
/images/gold.png,私の名前はボンド、ジェームス・ボンド,「007」でゲームをクリアする。
/images/bronze.png,美しき獲物たち,ホワイト邸をクリアする。
/images/bronze.png,ロシアより愛をこめて,シエナ、オペラハウス、地下穴をクリアする。
/images/bronze.png,リビング・デイライツ,スラム街と建設現場をクリアする。
/images/bronze.png,女王陛下の007,科学センター外部、科学センター内部、空港をクリアする。
/images/bronze.png,カジノ・ロワイヤル,モンテネグロ鉄道、カジノ・ロワイヤル、カジノ・ポイズンをクリアする。
/images/bronze.png,私を愛したスパイ,貨物船とベニスをクリアする。
/images/bronze.png,007/慰めの報酬,エコホテルをクリアする。
/images/bronze.png,ムーンレイカー,携帯電話を30個入手する。
/images/bronze.png,銃をどこに隠しているか知っている,すべての武器を解除して購入する。
/images/bronze.png,死体は数え切れない,すべての武器装着品を解除して購入する。
/images/bronze.png,射出座席…冗談だろう？,すべてのガジェットを解除して購入する。
/images/bronze.png,ゴールドフィンガー,すべてのゴールド武器を解除して購入する。
/images/bronze.png,シャマンドフェール,すべての武器、手榴弾、装着品、ガジェット、ゴールド武器を解除して購入する。
/images/silver.png,黄金のハープをつま弾く男,黄金銃の近接攻撃でプレイヤーを倒す。
/images/bronze.png,爆弾の解除,ボンド・バーサスで、爆弾を1個解除する。
/images/bronze.png,ドクター・ノオ,ボンド・バーサスモードで、ボンドとしてラウンドに勝利する。
/images/bronze.png,その勇気、賞賛に値する。,クレジットを1000ポイント以上獲得する。
/images/silver.png,人生は小さなチャレンジだらけ,クレジットを10000ポイント以上獲得する。
/images/gold.png,イギリスのためか、ジェームズ？,クレジットを100000ポイント以上獲得する。
/images/bronze.png,トッププレイヤー,オンラインマッチでトッププレイヤーになる。
/images/bronze.png,はい、とても,オンラインマッチを100回プレイする。
/images/bronze.png,振って、かき混ぜてはいけない,テリトリーコントロールのオンラインマッチで5回勝利する。
/images/bronze.png,ライセンス付きトラブルシューター。,黄金銃モードで、黄金銃を用いてプレイヤーを100人倒す。
/images/silver.png,少しの安心,プレイしたすべてのゲームにおいて、プレイヤーを1000人倒す。
/images/bronze.png,悪の本質,プレイしたすべてのゲームにおいて、遮蔽物に隠れた状態から標的を見ずにプレイヤーを10人倒す。
/images/bronze.png,3030は二重スパイだった,プレイしたすべてのゲームにおいて、遮蔽物に隠れた状態からプレイヤーを100人倒す。
/images/bronze.png,ダイ・アナザー・デイ,ボンド・エスケープモードで、ボンドとして脱出する。